smt1,smt2 ,smt3,smt4,smt5,smt6,smt7,toan tap,,,,,,,
,,,,,,,Toans,Toans2,Toans3,Toans,Toans4,Toans5,Toans7,Toans6
10,10, smt,10,10,10,10,10,10,10,10,10,10,10,10
,,,,,,,11,11,11,11,11,11,11,11
,,,,,,,12,12,12,12,12,12,12,12
,,,,,,,13,13,13,13,13,13,13,13
,,,,,,,14,14,14,14,14,14,14,14
,,,,,,,15,15,15,15,15,15,15,15
,,,,,,,16,16,16,16,16,16,16,16
,,,,,,,17,17,17,17,17,17,17,17
,,,,,,,18,18,18,18,18,18,18,18
19,19, smt,19,19,19,19,19,19,19,19,19,19,19,19
,,,,,,,20,20,20,20,20,20,20,20
,,,,,,,21,21,21,21,21,21,21,21
,,,,,,,sinhviens,22,22,22,22,22,22,22
,,,,,,,23,23,23,23,23,23,23,23
,,,,,,,24,24,24,24,24,24,24,24
,,,,,,,25,25,25,25,25,25,25,25
,,,,,,,26,26,26,26,26,26,26,26
27,27, smt,27,27,27,27,27,27,27,27,27,27,27,27
,,,,,,,28,28,28,28,28,28,28,28
,,,,,,,29,29,29,29,29,29,29,29
,,,,,,,30,30,30,30,30,30,30,30
